# Jiukong first-party default phrase ranking. See README.md.
可以	ㄎㄜˇ ㄧˇ	116
沒有	ㄇㄟˊ ㄧㄡˇ	76
繼續	ㄐㄧˋ ㄒㄩˋ	47
功能	ㄍㄨㄥ ㄋㄥˊ	45
這個	ㄓㄜˋ ˙ㄍㄜ	43
輸入	ㄕㄨ ㄖㄨˋ	38
設定	ㄕㄜˋ ㄉㄧㄥˋ	36
刪除	ㄕㄢ ㄔㄨˊ	35
系統	ㄒㄧˋ ㄊㄨㄥˇ	35
應該	ㄧㄥ ㄍㄞ	32
目前	ㄇㄨˋ ㄑㄧㄢˊ	31
說明	ㄕㄨㄛ ㄇㄧㄥˊ	31
幫我	ㄅㄤ ㄨㄛˇ	29
直接	ㄓˊ ㄐㄧㄝ	28
帳號	ㄓㄤˋ ㄏㄠˋ	27
現在	ㄒㄧㄢˋ ㄗㄞˋ	26
還是	ㄏㄞˊ ㄕˋ	26
重新	ㄔㄨㄥˊ ㄒㄧㄣ	26
需要	ㄒㄩ ㄧㄠˋ	25
問題	ㄨㄣˋ ㄊㄧˊ	22
我要	ㄨㄛˇ ㄧㄠˋ	20
專案	ㄓㄨㄢ ㄢˋ	19
權限	ㄑㄩㄢˊ ㄒㄧㄢˋ	19
看到	ㄎㄢˋ ㄉㄠˋ	19
修正	ㄒㄧㄡ ㄓㄥˋ	18
哪裡	ㄋㄚˇ ㄌㄧˇ	18
記錄	ㄐㄧˋ ㄌㄨˋ	18
使用者	ㄕˇ ㄩㄥˋ ㄓㄜˇ	17
預算	ㄩˋ ㄙㄨㄢˋ	17
一點	ㄧ ㄉㄧㄢˇ	16
簡單	ㄐㄧㄢˇ ㄉㄢ	16
編輯	ㄅㄧㄢ ㄐㄧˊ	16
游標	ㄧㄡˊ ㄅㄧㄠ	15
登入	ㄉㄥ ㄖㄨˋ	15
管理	ㄍㄨㄢˇ ㄌㄧˇ	15
資料	ㄗ ㄌㄧㄠˋ	15
部門	ㄅㄨˋ ㄇㄣˊ	15
已經	ㄧˇ ㄐㄧㄥ	14
檔案	ㄉㄤˇ ㄢˋ	14
訂購	ㄉㄧㄥˋ ㄍㄡˋ	14
列印	ㄌㄧㄝˋ ㄧㄣˋ	13
應該是	ㄧㄥ ㄍㄞ ㄕˋ	13
會計	ㄎㄨㄞˋ ㄐㄧˋ	13
螢幕	ㄧㄥˊ ㄇㄨˋ	13
開始	ㄎㄞ ㄕˇ	13
關閉	ㄍㄨㄢ ㄅㄧˋ	13
但是	ㄉㄢˋ ㄕˋ	12
全部	ㄑㄩㄢˊ ㄅㄨˋ	12
名字	ㄇㄧㄥˊ ㄗˋ	12
欄位	ㄌㄢˊ ㄨㄟˋ	12
繁體中文	ㄈㄢˊ ㄊㄧˇ ㄓㄨㄥ ㄨㄣˊ	12
颱風	ㄊㄞˊ ㄈㄥ	12
只要	ㄓˇ ㄧㄠˋ	11
回答	ㄏㄨㄟˊ ㄉㄚˊ	11
執行	ㄓˊ ㄒㄧㄥˊ	11
安裝	ㄢ ㄓㄨㄤ	11
第一	ㄉㄧˋ ㄧ	11
自己	ㄗˋ ㄐㄧˇ	11
訂單	ㄉㄧㄥˋ ㄉㄢ	11
顯示	ㄒㄧㄢˇ ㄕˋ	11
前面	ㄑㄧㄢˊ ㄇㄧㄢˋ	10
文字	ㄨㄣˊ ㄗˋ	10
會議	ㄏㄨㄟˋ ㄧˋ	10
查詢	ㄔㄚˊ ㄒㄩㄣˊ	10
內容	ㄋㄟˋ ㄖㄨㄥˊ	9
後面	ㄏㄡˋ ㄇㄧㄢˋ	9
新增	ㄒㄧㄣ ㄗㄥ	9
有人	ㄧㄡˇ ㄖㄣˊ	9
通知	ㄊㄨㄥ ㄓ	9
連結	ㄌㄧㄢˊ ㄐㄧㄝˊ	9
還有	ㄏㄞˊ ㄧㄡˇ	9
錯誤	ㄘㄨㄛˋ ㄨˋ	9
上傳	ㄕㄤˋ ㄔㄨㄢˊ	8
下載	ㄒㄧㄚˋ ㄗㄞˇ	8
你們	ㄋㄧˇ ˙ㄇㄣ	8
修改	ㄒㄧㄡ ㄍㄞˇ	8
儲存	ㄔㄨˊ ㄘㄨㄣˊ	8
增加	ㄗㄥ ㄐㄧㄚ	8
姓名	ㄒㄧㄥˋ ㄇㄧㄥˊ	8
搜尋	ㄙㄡ ㄒㄩㄣˊ	8
時間	ㄕˊ ㄐㄧㄢ	8
測試	ㄘㄜˋ ㄕˋ	8
輸入法	ㄕㄨ ㄖㄨˋ ㄈㄚˇ	8
這些	ㄓㄜˋ ㄒㄧㄝ	8
不能	ㄅㄨˋ ㄋㄥˊ	7
中文	ㄓㄨㄥ ㄨㄣˊ	7
加入	ㄐㄧㄚ ㄖㄨˋ	7
密碼	ㄇㄧˋ ㄇㄚˇ	7
我的	ㄨㄛˇ ˙ㄉㄜ	7
所有	ㄙㄨㄛˇ ㄧㄡˇ	7
按下	ㄢˋ ㄒㄧㄚˋ	7
知道	ㄓ ㄉㄠˋ	7
票價	ㄆㄧㄠˋ ㄐㄧㄚˋ	7
複雜	ㄈㄨˋ ㄗㄚˊ	7
這裡	ㄓㄜˋ ㄌㄧˇ	7
開啟	ㄎㄞ ㄑㄧˇ	7
停用	ㄊㄧㄥˊ ㄩㄥˋ	6
另外	ㄌㄧㄥˋ ㄨㄞˋ	6
圖示	ㄊㄨˊ ㄕˋ	6
工作	ㄍㄨㄥ ㄗㄨㄛˋ	6
影響	ㄧㄥˇ ㄒㄧㄤˇ	6
時候	ㄕˊ ㄏㄡˋ	6
檢查	ㄐㄧㄢˇ ㄔㄚˊ	6
正式	ㄓㄥˋ ㄕˋ	6
比較	ㄅㄧˇ ㄐㄧㄠˋ	6
畫面	ㄏㄨㄚˋ ㄇㄧㄢˋ	6
移動	ㄧˊ ㄉㄨㄥˋ	6
觀看	ㄍㄨㄢ ㄎㄢˋ	6
電腦	ㄉㄧㄢˋ ㄋㄠˇ	6
今天	ㄐㄧㄣ ㄊㄧㄢ	5
使用	ㄕˇ ㄩㄥˋ	5
切換	ㄑㄧㄝ ㄏㄨㄢˋ	5
可能	ㄎㄜˇ ㄋㄥˊ	5
因為	ㄧㄣ ㄨㄟˋ	5
完成	ㄨㄢˊ ㄔㄥˊ	5
影片	ㄧㄥˇ ㄆㄧㄢˋ	5
打開	ㄉㄚˇ ㄎㄞ	5
排序	ㄆㄞˊ ㄒㄩˋ	5
改變	ㄍㄞˇ ㄅㄧㄢˋ	5
未來	ㄨㄟˋ ㄌㄞˊ	5
核准	ㄏㄜˊ ㄓㄨㄣˇ	5
權利	ㄑㄩㄢˊ ㄌㄧˋ	5
正確	ㄓㄥˋ ㄑㄩㄝˋ	5
無法	ㄨˊ ㄈㄚˇ	5
簡明扼要	ㄐㄧㄢˇ ㄇㄧㄥˊ ㄜˋ ㄧㄠˋ	5
複製	ㄈㄨˋ ㄓˋ	5
設計	ㄕㄜˋ ㄐㄧˋ	5
上線	ㄕㄤˋ ㄒㄧㄢˋ	4
久空	ㄐㄧㄡˇ ㄎㄨㄥ	4
免費	ㄇㄧㄢˇ ㄈㄟˋ	4
剛剛	ㄍㄤ ㄍㄤ	4
同步	ㄊㄨㄥˊ ㄅㄨˋ	4
小時	ㄒㄧㄠˇ ㄕˊ	4
按鈕	ㄢˋ ㄋㄧㄡˇ	4
日期	ㄖˋ ㄑㄧˊ	4
明天	ㄇㄧㄥˊ ㄊㄧㄢ	4
更新	ㄍㄥ ㄒㄧㄣ	4
正常	ㄓㄥˋ ㄔㄤˊ	4
每天	ㄇㄟˇ ㄊㄧㄢ	4
決定	ㄐㄩㄝˊ ㄉㄧㄥˋ	4
注音	ㄓㄨˋ ㄧㄣ	4
清楚	ㄑㄧㄥ ㄔㄨˇ	4
申請	ㄕㄣ ㄑㄧㄥˇ	4
薪資	ㄒㄧㄣ ㄗ	4
處理	ㄔㄨˇ ㄌㄧˇ	4
解決	ㄐㄧㄝˇ ㄐㄩㄝˊ	4
討論	ㄊㄠˇ ㄌㄨㄣˋ	4
調整	ㄊㄧㄠˊ ㄓㄥˇ	4
選擇	ㄒㄩㄢˇ ㄗㄜˊ	4
那個	ㄋㄚˋ ˙ㄍㄜ	4
一般	ㄧ ㄅㄢ	3
上午	ㄕㄤˋ ㄨˇ	3
中文模式	ㄓㄨㄥ ㄨㄣˊ ㄇㄛˊ ㄕˋ	3
今日	ㄐㄧㄣ ㄖˋ	3
他的	ㄊㄚ ˙ㄉㄜ	3
以後	ㄧˇ ㄏㄡˋ	3
位置	ㄨㄟˋ ㄓˋ	3
你的	ㄋㄧˇ ˙ㄉㄜ	3
便宜	ㄆㄧㄢˊ ㄧˊ	3
保險	ㄅㄠˇ ㄒㄧㄢˇ	3
備份	ㄅㄟˋ ㄈㄣˋ	3
包含	ㄅㄠ ㄏㄢˊ	3
大家	ㄉㄚˋ ㄐㄧㄚ	3
學費	ㄒㄩㄝˊ ㄈㄟˋ	3
完整	ㄨㄢˊ ㄓㄥˇ	3
實際	ㄕˊ ㄐㄧˋ	3
就是	ㄐㄧㄡˋ ㄕˋ	3
差異	ㄔㄚ ㄧˋ	3
成功	ㄔㄥˊ ㄍㄨㄥ	3
所以	ㄙㄨㄛˇ ㄧˇ	3
期間	ㄑㄧˊ ㄐㄧㄢ	3
查一下	ㄔㄚˊ ㄧ ㄒㄧㄚˋ	3
每次	ㄇㄟˇ ㄘˋ	3
沒錯	ㄇㄟˊ ㄘㄨㄛˋ	3
測試中請稍後	ㄘㄜˋ ㄕˋ ㄓㄨㄥ ㄑㄧㄥˇ ㄕㄠ ㄏㄡˋ	3
種類	ㄓㄨㄥˇ ㄌㄟˋ	3
範例	ㄈㄢˋ ㄌㄧˋ	3
結帳	ㄐㄧㄝˊ ㄓㄤˋ	3
結果	ㄐㄧㄝˊ ㄍㄨㄛˇ	3
網路	ㄨㄤˇ ㄌㄨˋ	3
而且	ㄦˊ ㄑㄧㄝˇ	3
舞蹈	ㄨˇ ㄉㄠˋ	3
視窗	ㄕˋ ㄔㄨㄤ	3
費用	ㄈㄟˋ ㄩㄥˋ	3
退休	ㄊㄨㄟˋ ㄒㄧㄡ	3
連線	ㄌㄧㄢˊ ㄒㄧㄢˋ	3
選單	ㄒㄩㄢˇ ㄉㄢ	3
選項	ㄒㄩㄢˇ ㄒㄧㄤˋ	3
金額	ㄐㄧㄣ ㄜˊ	3
錄音	ㄌㄨˋ ㄧㄣ	3
開關	ㄎㄞ ㄍㄨㄢ	3
電話	ㄉㄧㄢˋ ㄏㄨㄚˋ	3
一起	ㄧ ㄑㄧˇ	2
不是	ㄅㄨˋ ㄕˋ	2
不用	ㄅㄨˋ ㄩㄥˋ	2
中間	ㄓㄨㄥ ㄐㄧㄢ	2
主管	ㄓㄨˇ ㄍㄨㄢˇ	2
任何	ㄖㄣˋ ㄏㄜˊ	2
例如	ㄌㄧˋ ㄖㄨˊ	2
公司	ㄍㄨㄥ ㄙ	2
台灣	ㄊㄞˊ ㄨㄢ	2
哪些	ㄋㄚˇ ㄒㄧㄝ	2
回來	ㄏㄨㄟˊ ㄌㄞˊ	2
圖片	ㄊㄨˊ ㄆㄧㄢˋ	2
報到	ㄅㄠˋ ㄉㄠˋ	2
報告	ㄅㄠˋ ㄍㄠˋ	2
多少	ㄉㄨㄛ ㄕㄠˇ	2
如果	ㄖㄨˊ ㄍㄨㄛˇ	2
完全	ㄨㄢˊ ㄑㄩㄢˊ	2
室友	ㄕˋ ㄧㄡˇ	2
寄送	ㄐㄧˋ ㄙㄨㄥˋ	2
常用字	ㄔㄤˊ ㄩㄥˋ ㄗˋ	2
建立	ㄐㄧㄢˋ ㄌㄧˋ	2
很多	ㄏㄣˇ ㄉㄨㄛ	2
必須	ㄅㄧˋ ㄒㄩ	2
忘記	ㄨㄤˋ ㄐㄧˋ	2
情況	ㄑㄧㄥˊ ㄎㄨㄤˋ	2
我們	ㄨㄛˇ ˙ㄇㄣ	2
手機	ㄕㄡˇ ㄐㄧ	2
找到	ㄓㄠˇ ㄉㄠˋ	2
提交	ㄊㄧˊ ㄐㄧㄠ	2
支援	ㄓ ㄩㄢˊ	2
收到	ㄕㄡ ㄉㄠˋ	2
效果	ㄒㄧㄠˋ ㄍㄨㄛˇ	2
方便	ㄈㄤ ㄅㄧㄢˋ	2
星期五	ㄒㄧㄥ ㄑㄧˊ ㄨˇ	2
星期四	ㄒㄧㄥ ㄑㄧˊ ㄙˋ	2
是的	ㄕˋ ˙ㄉㄜ	2
本機	ㄅㄣˇ ㄐㄧ	2
步驟	ㄅㄨˋ ㄗㄡˋ	2
永遠	ㄩㄥˇ ㄩㄢˇ	2
流程	ㄌㄧㄡˊ ㄔㄥˊ	2
演出	ㄧㄢˇ ㄔㄨ	2
瀏覽器	ㄌㄧㄡˊ ㄌㄢˇ ㄑㄧˋ	2
版本	ㄅㄢˇ ㄅㄣˇ	2
目的	ㄇㄨˋ ㄉㄧˋ	2
看一下	ㄎㄢˋ ㄧ ㄒㄧㄚˋ	2
真的	ㄓㄣ ˙ㄉㄜ	2
程式	ㄔㄥˊ ㄕˋ	2
節目	ㄐㄧㄝˊ ㄇㄨˋ	2
簽名	ㄑㄧㄢ ㄇㄧㄥˊ	2
網址	ㄨㄤˇ ㄓˇ	2
表示	ㄅㄧㄠˇ ㄕˋ	2
規則	ㄍㄨㄟ ㄗㄜˊ	2
輕聲	ㄑㄧㄥ ㄕㄥ	2
輸出	ㄕㄨ ㄔㄨ	2
辦公室	ㄅㄢˋ ㄍㄨㄥ ㄕˋ	2
避免	ㄅㄧˋ ㄇㄧㄢˇ	2
重新安裝	ㄔㄨㄥˊ ㄒㄧㄣ ㄢ ㄓㄨㄤ	2
銀行	ㄧㄣˊ ㄏㄤˊ	2
鑰匙	ㄧㄠˋ ˙ㄕ	2
開發	ㄎㄞ ㄈㄚ	2
雲端	ㄩㄣˊ ㄉㄨㄢ	2
餘額	ㄩˊ ㄜˊ	2
高度	ㄍㄠ ㄉㄨˋ	2
麻煩你	ㄇㄚˊ ㄈㄢˊ ㄋㄧˇ	2
一些	ㄧ ㄒㄧㄝ	1
一半	ㄧ ㄅㄢˋ	1
一定	ㄧ ㄉㄧㄥˋ	1
一直	ㄧ ㄓˊ	1
上班	ㄕㄤˋ ㄅㄢ	1
下午	ㄒㄧㄚˋ ㄨˇ	1
不合邏輯	ㄅㄨˋ ㄏㄜˊ ㄌㄨㄛˊ ㄐㄧˊ	1
不同	ㄅㄨˋ ㄊㄨㄥˊ	1
不好	ㄅㄨˋ ㄏㄠˇ	1
不過	ㄅㄨˋ ㄍㄨㄛˋ	1
中部	ㄓㄨㄥ ㄅㄨˋ	1
也許	ㄧㄝˇ ㄒㄩˇ	1
人員	ㄖㄣˊ ㄩㄢˊ	1
他們	ㄊㄚ ˙ㄇㄣ	1
以前	ㄧˇ ㄑㄧㄢˊ	1
以此類推	ㄧˇ ㄘˇ ㄌㄟˋ ㄊㄨㄟ	1
停止	ㄊㄧㄥˊ ㄓˇ	1
允許	ㄩㄣˇ ㄒㄩˇ	1
充電	ㄔㄨㄥ ㄉㄧㄢˋ	1
全形	ㄑㄩㄢˊ ㄒㄧㄥˊ	1
公告	ㄍㄨㄥ ㄍㄠˋ	1
共同	ㄍㄨㄥˋ ㄊㄨㄥˊ	1
分析	ㄈㄣ ㄒㄧ	1
分鐘	ㄈㄣ ㄓㄨㄥ	1
別人	ㄅㄧㄝˊ ㄖㄣˊ	1
剛才	ㄍㄤ ㄘㄞˊ	1
加油	ㄐㄧㄚ ㄧㄡˊ	1
半形	ㄅㄢˋ ㄒㄧㄥˊ	1
原來	ㄩㄢˊ ㄌㄞˊ	1
可愛	ㄎㄜˇ ㄞˋ	1
可能是	ㄎㄜˇ ㄋㄥˊ ㄕˋ	1
右邊	ㄧㄡˋ ㄅㄧㄢ	1
合理	ㄏㄜˊ ㄌㄧˇ	1
名單	ㄇㄧㄥˊ ㄉㄢ	1
告訴我	ㄍㄠˋ ㄙㄨˋ ㄨㄛˇ	1
因此	ㄧㄣ ㄘˇ	1
基本	ㄐㄧ ㄅㄣˇ	1
外面	ㄨㄞˋ ㄇㄧㄢˋ	1
多久	ㄉㄨㄛ ㄐㄧㄡˇ	1
多餘	ㄉㄨㄛ ㄩˊ	1
大小	ㄉㄚˋ ㄒㄧㄠˇ	1
安排	ㄢ ㄆㄞˊ	1
容易	ㄖㄨㄥˊ ㄧˋ	1
寄信	ㄐㄧˋ ㄒㄧㄣˋ	1
審核	ㄕㄣˇ ㄏㄜˊ	1
對方	ㄉㄨㄟˋ ㄈㄤ	1
小心	ㄒㄧㄠˇ ㄒㄧㄣ	1
左邊	ㄗㄨㄛˇ ㄅㄧㄢ	1
差不多	ㄔㄚ ㄅㄨˋ ㄉㄨㄛ	1
希望	ㄒㄧ ㄨㄤˋ	1
幫助	ㄅㄤ ㄓㄨˋ	1
幾乎	ㄐㄧ ㄏㄨ	1
幾點	ㄐㄧˇ ㄉㄧㄢˇ	1
建議	ㄐㄧㄢˋ ㄧˋ	1
形式	ㄒㄧㄥˊ ㄕˋ	1
後天	ㄏㄡˋ ㄊㄧㄢ	1
怎麼	ㄗㄣˇ ˙ㄇㄜ	1
我看看	ㄨㄛˇ ㄎㄢˋ ㄎㄢˋ	1
我知道	ㄨㄛˇ ㄓ ㄉㄠˋ	1
或者	ㄏㄨㄛˋ ㄓㄜˇ	1
抱歉	ㄅㄠˋ ㄑㄧㄢˋ	1
提供	ㄊㄧˊ ㄍㄨㄥ	1
提醒	ㄊㄧˊ ㄒㄧㄥˇ	1
支出	ㄓ ㄔㄨ	1
改進	ㄍㄞˇ ㄐㄧㄣˋ	1
教育	ㄐㄧㄠˋ ㄩˋ	1
文件	ㄨㄣˊ ㄐㄧㄢˋ	1
星期三	ㄒㄧㄥ ㄑㄧˊ ㄙㄢ	1
星期六	ㄒㄧㄥ ㄑㄧˊ ㄌㄧㄡˋ	1
昨天	ㄗㄨㄛˊ ㄊㄧㄢ	1
是不是	ㄕˋ ㄅㄨˋ ㄕˋ	1
會議室	ㄏㄨㄟˋ ㄧˋ ㄕˋ	1
有可能	ㄧㄡˇ ㄎㄜˇ ㄋㄥˊ	1
條件	ㄊㄧㄠˊ ㄐㄧㄢˋ	1
歡迎	ㄏㄨㄢ ㄧㄥˊ	1
每週	ㄇㄟˇ ㄓㄡ	1
沒人	ㄇㄟˊ ㄖㄣˊ	1
沒有的話	ㄇㄟˊ ㄧㄡˇ ˙ㄉㄜ ㄏㄨㄚˋ	1
消息	ㄒㄧㄠ ㄒㄧˊ	1
清潔	ㄑㄧㄥ ㄐㄧㄝˊ	1
測試中	ㄘㄜˋ ㄕˋ ㄓㄨㄥ	1
準備	ㄓㄨㄣˇ ㄅㄟˋ	1
滑鼠	ㄏㄨㄚˊ ㄕㄨˇ	1
然後	ㄖㄢˊ ㄏㄡˋ	1
特別	ㄊㄜˋ ㄅㄧㄝˊ	1
狀況	ㄓㄨㄤˋ ㄎㄨㄤˋ	1
當然	ㄉㄤ ㄖㄢˊ	1
