# Original phrase	original readings	reviewed phrase	reviewed readings
爸爸	ㄅㄚˋ ˙ㄅㄚ	爸爸	ㄅㄚˋ ㄅㄚˋ
白天	ㄅㄞˊ ˙ㄊㄧㄢ	白天	ㄅㄞˊ ㄊㄧㄢ
北邊	ㄅㄟˇ ˙ㄅㄧㄢ	北邊	ㄅㄟˇ ㄅㄧㄢ
別人	ㄅㄧㄝˊ ˙ㄖㄣ	別人	ㄅㄧㄝˊ ㄖㄣˊ
出來	ㄔㄨ ˙ㄌㄞ	出來	ㄔㄨ ㄌㄞˊ
出去	ㄔㄨ ˙ㄑㄩ	出去	ㄔㄨ ㄑㄩˋ
地方	ㄉㄧˋ ˙ㄈㄤ	地方	ㄉㄧˋ ㄈㄤ
地上	ㄉㄧˋ ˙ㄕㄤ	地上	ㄉㄧˋ ㄕㄤˋ
弟弟	ㄉㄧˋ ˙ㄉㄧ	弟弟	ㄉㄧˋ ㄉㄧˋ
東西	ㄉㄨㄥ ˙ㄒㄧ	東西	ㄉㄨㄥ ㄒㄧ
對不起	ㄉㄨㄟˋ ˙ㄅㄨ ㄑㄧˇ	對不起	ㄉㄨㄟˋ ㄅㄨˋ ㄑㄧˇ
多少	ㄉㄨㄛ ˙ㄕㄠ	多少	ㄉㄨㄛ ㄕㄠˇ
告訴	ㄍㄠˋ ˙ㄙㄨ	告訴	ㄍㄠˋ ㄙㄨˋ
哥哥	ㄍㄜ ˙ㄍㄜ	哥哥	ㄍㄜ ㄍㄜ
工人	ㄍㄨㄥ ˙ㄖㄣ	工人	ㄍㄨㄥ ㄖㄣˊ
還是	ㄏㄞˊ ˙ㄕ	還是	ㄏㄞˊ ㄕˋ
好玩兒	ㄏㄠˇ ㄨㄢˊ ˙ㄦ	好玩兒	ㄏㄠˇ ㄨㄢˊ ㄦˊ
後邊	ㄏㄡˋ ˙ㄅㄧㄢ	後邊	ㄏㄡˋ ㄅㄧㄢ
回去	ㄏㄨㄟˊ ˙ㄑㄩ	回去	ㄏㄨㄟˊ ㄑㄩˋ
回來	ㄏㄨㄟˊ ˙ㄌㄞ	回來	ㄏㄨㄟˊ ㄌㄞˊ
記住	ㄐㄧˋ ˙ㄓㄨ	記住	ㄐㄧˋ ㄓㄨˋ
姐姐	ㄐㄧㄝˇ ˙ㄐㄧㄝ	姐姐	ㄐㄧㄝˇ ㄐㄧㄝˇ
進來	ㄐㄧㄣˋ ˙ㄌㄞ	進來	ㄐㄧㄣˋ ㄌㄞˊ
進去	ㄐㄧㄣˋ ˙ㄑㄩ	進去	ㄐㄧㄣˋ ㄑㄩˋ
看見	ㄎㄢˋ ˙ㄐㄧㄢ	看見	ㄎㄢˋ ㄐㄧㄢˋ
老人	ㄌㄠˇ ˙ㄖㄣ	老人	ㄌㄠˇ ㄖㄣˊ
裡邊	ㄌㄧˇ ˙ㄅㄧㄢ	裡邊	ㄌㄧˇ ㄅㄧㄢ
路上	ㄌㄨˋ ˙ㄕㄤ	路上	ㄌㄨˋ ㄕㄤˋ
媽媽	ㄇㄚ ˙ㄇㄚ	媽媽	ㄇㄚ ㄇㄚ
沒關係	ㄇㄟˊ ㄍㄨㄢ ˙ㄒㄧ	沒關係	ㄇㄟˊ ㄍㄨㄢ ㄒㄧˋ
沒有	ㄇㄟˊ ˙ㄧㄡ	沒有	ㄇㄟˊ ㄧㄡˇ
沒事兒	ㄇㄟˊ ㄕˋ ˙ㄦ	沒事兒	ㄇㄟˊ ㄕˋ ㄦˊ
妹妹	ㄇㄟˋ ˙ㄇㄟ	妹妹	ㄇㄟˋ ㄇㄟˋ
麵條兒	ㄇㄧㄢˋ ㄊㄧㄠˊ ˙ㄦ	麵條兒	ㄇㄧㄢˋ ㄊㄧㄠˊ ㄦˊ
名字	ㄇㄧㄥˊ ˙ㄗ	名字	ㄇㄧㄥˊ ㄗˋ
明白	ㄇㄧㄥˊ ˙ㄅㄞ	明白	ㄇㄧㄥˊ ㄅㄞˊ
哪裡	ㄋㄚˇ ˙ㄌㄧ	哪裡	ㄋㄚˇ ㄌㄧˇ
哪兒	ㄋㄚˇ ˙ㄦ	哪兒	ㄋㄚˇ ㄦˊ
那邊	ㄋㄚˋ ˙ㄅㄧㄢ	那邊	ㄋㄚˋ ㄅㄧㄢ
那兒	ㄋㄚˋ ˙ㄦ	那兒	ㄋㄚˋ ㄦˊ
奶奶	ㄋㄞˇ ˙ㄋㄞ	奶奶	ㄋㄞˇ ㄋㄞˇ
男孩兒	ㄋㄢˊ ㄏㄞˊ ˙ㄦ	男孩兒	ㄋㄢˊ ㄏㄞˊ ㄦˊ
男朋友	ㄋㄢˊ ㄆㄥˊ ˙ㄧㄡ	男朋友	ㄋㄢˊ ㄆㄥˊ ㄧㄡˇ
男人	ㄋㄢˊ ˙ㄖㄣ	男人	ㄋㄢˊ ㄖㄣˊ
南邊	ㄋㄢˊ ˙ㄅㄧㄢ	南邊	ㄋㄢˊ ㄅㄧㄢ
女孩兒	ㄋㄩˇ ㄏㄞˊ ˙ㄦ	女孩兒	ㄋㄩˇ ㄏㄞˊ ㄦˊ
女朋友	ㄋㄩˇ ㄆㄥˊ ˙ㄧㄡ	女朋友	ㄋㄩˇ ㄆㄥˊ ㄧㄡˇ
女人	ㄋㄩˇ ˙ㄖㄣ	女人	ㄋㄩˇ ㄖㄣˊ
朋友	ㄆㄥˊ ˙ㄧㄡ	朋友	ㄆㄥˊ ㄧㄡˇ
起來	ㄑㄧˇ ˙ㄌㄞ	起來	ㄑㄧˇ ㄌㄞˊ
