# MOE 《成語典》 government-sourced idiom lexicon. See README.md.
一毛不拔	ㄧ ㄇㄠˊ ㄅㄨˋ ㄅㄚˊ
掩耳盜鈴	ㄧㄢˇ ㄦˇ ㄉㄠˋ ㄌㄧㄥˊ
一丘之貉	ㄧ ㄑㄧㄡ ㄓ ㄏㄜˊ
囫圇吞棗	ㄏㄨˊ ㄌㄨㄣˊ ㄊㄨㄣ ㄗㄠˇ
班門弄斧	ㄅㄢ ㄇㄣˊ ㄋㄨㄥˋ ㄈㄨˇ
朝三暮四	ㄓㄠ ㄙㄢ ㄇㄨˋ ㄙˋ
水落石出	ㄕㄨㄟˇ ㄌㄨㄛˋ ㄕˊ ㄔㄨ
名落孫山	ㄇㄧㄥˊ ㄌㄨㄛˋ ㄙㄨㄣ ㄕㄢ
胸有成竹	ㄒㄩㄥ ㄧㄡˇ ㄔㄥˊ ㄓㄨˊ
竭澤而漁	ㄐㄧㄝˊ ㄗㄜˊ ㄦˊ ㄩˊ
指鹿為馬	ㄓˇ ㄌㄨˋ ㄨㄟˊ ㄇㄚˇ
天衣無縫	ㄊㄧㄢ ㄧ ㄨˊ ㄈㄥˋ
舉一反三	ㄐㄩˇ ㄧ ㄈㄢˇ ㄙㄢ
江郎才盡	ㄐㄧㄤ ㄌㄤˊ ㄘㄞˊ ㄐㄧㄣˋ
青出於藍	ㄑㄧㄥ ㄔㄨ ㄩˊ ㄌㄢˊ
口若懸河	ㄎㄡˇ ㄖㄨㄛˋ ㄒㄩㄢˊ ㄏㄜˊ
驚弓之鳥	ㄐㄧㄥ ㄍㄨㄥ ㄓ ㄋㄧㄠˇ
含沙射影	ㄏㄢˊ ㄕㄚ ㄕㄜˋ ㄧㄥˇ
一敗塗地	ㄧ ㄅㄞˋ ㄊㄨˊ ㄉㄧˋ
草木皆兵	ㄘㄠˇ ㄇㄨˋ ㄐㄧㄝ ㄅㄧㄥ
投筆從戎	ㄊㄡˊ ㄅㄧˇ ㄘㄨㄥˊ ㄖㄨㄥˊ
