# MOE 《重編國語辭典修訂本》 government-sourced four-character phrase lexicon. See README.md.
八百羅漢	ㄅㄚ ㄅㄞˇ ㄌㄨㄛˊ ㄏㄢˋ
八般大禮	ㄅㄚ ㄅㄢ ㄉㄚˋ ㄌㄧˇ
八病九痛	ㄅㄚ ㄅㄧㄥˋ ㄐㄧㄡˇ ㄊㄨㄥˋ
八步周行	ㄅㄚ ㄅㄨˋ ㄓㄡ ㄒㄧㄥˊ
八門五花	ㄅㄚ ㄇㄣˊ ㄨˇ ㄏㄨㄚ
八面見光	ㄅㄚ ㄇㄧㄢˋ ㄐㄧㄢˋ ㄍㄨㄤ
八面受敵	ㄅㄚ ㄇㄧㄢˋ ㄕㄡˋ ㄉㄧˊ
八面威風	ㄅㄚ ㄇㄧㄢˋ ㄨㄟ ㄈㄥ
八面圓通	ㄅㄚ ㄇㄧㄢˋ ㄩㄢˊ ㄊㄨㄥ
八分音符	ㄅㄚ ㄈㄣ ㄧㄣ ㄈㄨˊ
八方呼應	ㄅㄚ ㄈㄤ ㄏㄨ ㄧㄥˋ
八方受敵	ㄅㄚ ㄈㄤ ㄕㄡˋ ㄉㄧˊ
八答麻鞋	ㄅㄚ ㄉㄚ ㄇㄚˊ ㄒㄧㄝˊ
八搭麻鞋	ㄅㄚ ㄉㄚ ㄇㄚˊ ㄒㄧㄝˊ
八大八小	ㄅㄚ ㄉㄚˋ ㄅㄚ ㄒㄧㄠˇ
八大山人	ㄅㄚ ㄉㄚˋ ㄕㄢ ㄖㄣˊ
八大人覺	ㄅㄚ ㄉㄚˋ ㄖㄣˊ ㄐㄩㄝˊ
八斗之才	ㄅㄚ ㄉㄡˇ ㄓ ㄘㄞˊ
八斗陳思	ㄅㄚ ㄉㄡˇ ㄔㄣˊ ㄙ
八度音程	ㄅㄚ ㄉㄨˋ ㄧㄣ ㄔㄥˊ
八抬八簇	ㄅㄚ ㄊㄞˊ ㄅㄚ ㄘㄨˋ
八年抗戰	ㄅㄚ ㄋㄧㄢˊ ㄎㄤˋ ㄓㄢˋ
八兩半斤	ㄅㄚ ㄌㄧㄤˇ ㄅㄢˋ ㄐㄧㄣ
八股文章	ㄅㄚ ㄍㄨˇ ㄨㄣˊ ㄓㄤ
八卦米篩	ㄅㄚ ㄍㄨㄚˋ ㄇㄧˇ ㄕㄞ
八國聯軍	ㄅㄚ ㄍㄨㄛˊ ㄌㄧㄢˊ ㄐㄩㄣ
八怪七喇	ㄅㄚ ㄍㄨㄞˋ ㄑㄧ ㄌㄚˇ
八功德水	ㄅㄚ ㄍㄨㄥ ㄉㄜˊ ㄕㄨㄟˇ
八海四瀆	ㄅㄚ ㄏㄞˇ ㄙˋ ㄉㄨˊ
八號分機	ㄅㄚ ㄏㄠˋ ㄈㄣ ㄐㄧ
八花九裂	ㄅㄚ ㄏㄨㄚ ㄐㄧㄡˇ ㄌㄧㄝˋ
八角楓科	ㄅㄚ ㄐㄧㄠˇ ㄈㄥ ㄎㄜ
八角茴香	ㄅㄚ ㄐㄧㄠˇ ㄏㄨㄟˊ ㄒㄧㄤ
八角金盤	ㄅㄚ ㄐㄧㄠˇ ㄐㄧㄣ ㄆㄢˊ
八九分人	ㄅㄚ ㄐㄧㄡˇ ㄈㄣ ㄖㄣˊ
八旗都統	ㄅㄚ ㄑㄧˊ ㄉㄨ ㄊㄨㄥˇ
八旗制度	ㄅㄚ ㄑㄧˊ ㄓˋ ㄉㄨˋ
八千子弟	ㄅㄚ ㄑㄧㄢ ㄗˇ ㄉㄧˋ
八小時制	ㄅㄚ ㄒㄧㄠˇ ㄕˊ ㄓˋ
八仙過海	ㄅㄚ ㄒㄧㄢ ㄍㄨㄛˋ ㄏㄞˇ
八指頭陀	ㄅㄚ ㄓˇ ㄊㄡˊ ㄊㄨㄛˊ
八珍鹹粥	ㄅㄚ ㄓㄣ ㄒㄧㄢˊ ㄓㄡ
八十四調	ㄅㄚ ㄕˊ ㄙˋ ㄉㄧㄠˋ
八水三川	ㄅㄚ ㄕㄨㄟˇ ㄙㄢ ㄔㄨㄢ
八子七婿	ㄅㄚ ㄗˇ ㄑㄧ ㄒㄩˋ
八字打開	ㄅㄚ ㄗˋ ㄉㄚˇ ㄎㄞ
八字宮眉	ㄅㄚ ㄗˋ ㄍㄨㄥ ㄇㄟˊ
八字鬍鬚	ㄅㄚ ㄗˋ ㄏㄨˊ ㄒㄩ
八字全帖	ㄅㄚ ㄗˋ ㄑㄩㄢˊ ㄊㄧㄝˇ
八索九丘	ㄅㄚ ㄙㄨㄛˇ ㄐㄧㄡˇ ㄑㄧㄡ
八音聯歡	ㄅㄚ ㄧㄣ ㄌㄧㄢˊ ㄏㄨㄢ
八文十二	ㄅㄚ ㄨㄣˊ ㄕˊ ㄦˋ
八王之亂	ㄅㄚ ㄨㄤˊ ㄓ ㄌㄨㄢˋ
八月花神	ㄅㄚ ㄩㄝˋ ㄏㄨㄚ ㄕㄣˊ
扒頭探腦	ㄅㄚ ㄊㄡˊ ㄊㄢˋ ㄋㄠˇ
扒拉大山	ㄅㄚ ㄌㄚ ㄉㄚˋ ㄕㄢ
巴伐利亞	ㄅㄚ ㄈㄚˊ ㄌㄧˋ ㄧㄚˋ
巴夫洛夫	ㄅㄚ ㄈㄨ ㄌㄨㄛˋ ㄈㄨ
巴噠著嘴	ㄅㄚ ㄉㄚˊ ˙ㄓㄜ ㄗㄨㄟˇ
巴丹半島	ㄅㄚ ㄉㄢ ㄅㄢˋ ㄉㄠˇ
巴頭探腦	ㄅㄚ ㄊㄡˊ ㄊㄢˋ ㄋㄠˇ
巴拿馬市	ㄅㄚ ㄋㄚˊ ㄇㄚˇ ㄕˋ
巴南牆望	ㄅㄚ ㄋㄢˊ ㄑㄧㄤˊ ㄨㄤˋ
巴拉頓湖	ㄅㄚ ㄌㄚ ㄉㄨㄣˋ ㄏㄨˊ
巴拉圭河	ㄅㄚ ㄌㄚ ㄍㄨㄟ ㄏㄜˊ
